avatar,category,delivery_fee,delivery_time,distance,name,price_range,rating,url
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201712231909_53fe5a50-c6fe-477b-ab6b-be90ff9b4237.jpg",Brasileira,5.0,60,3.24,Churrascaria Delivery,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/churrascaria-delivery-jardim-das-industrias/53fe5a50-c6fe-477b-ab6b-be90ff9b4237
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/bcb7806c-279c-4822-aae6-0d9ee7cd03e3/201802022102_mudde.png",Lanches,4.9,40,1.07,Mudde Burgers,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/mudde-burgers-jardim-das-colinas/bcb7806c-279c-4822-aae6-0d9ee7cd03e3
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201712292020_301be018-76a8-4d7f-bbc7-dea96f3669fc.png",Lanches,5.0,60,2.25,Corleone Burguer,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/corleone-burguer-jardim-sao-dimas/301be018-76a8-4d7f-bbc7-dea96f3669fc
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/a759f7b7-4cac-4687-a7c5-4e617e7b6ad2/201801181154_fitne.png",Saudável,5.0,50,2.26,Fitness Food,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/fitness-food-vila-nair/a759f7b7-4cac-4687-a7c5-4e617e7b6ad2
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201801190831_6803e8a0-28f6-433c-b784-096fac7dfa64.jpg",Brasileira,4.0,60,1.37,Bar Gogo da Ema - Bar Restaurant,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/bar-gogo-da-ema---bar-restaurant-jardim-sao-dimas/6803e8a0-28f6-433c-b784-096fac7dfa64
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201801141705_57470d13-705c-41a5-ae35-c7b4ef55109f.png",Brasileira,4.0,40,2.17,Padaria Pão de Açucar,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/padaria-pao-de-acucar-centro/57470d13-705c-41a5-ae35-c7b4ef55109f
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201801131407_7eb2a2eb-46b0-4dfb-8483-9db241a28a0f.png",Variada,3.0,40,4.17,Lellu's Restaurante  Bar,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/lellus-restaurante--bar-jardim-das-industrias/7eb2a2eb-46b0-4dfb-8483-9db241a28a0f
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/a2b123d2-fe66-4261-b3c3-10b1d9d7880b/201801271139_teste3.jpg",Lanches,5.0,40,0.99,Smoked Burger,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/smoked-burger-jardim-esplanada/a2b123d2-fe66-4261-b3c3-10b1d9d7880b
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201801220816_fea6bc20-fbf4-46ff-ac9c-720b36042d93.png",Lanches,4.9,40,2.11,Rei do Sabor,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/rei-do-sabor-centro/fea6bc20-fbf4-46ff-ac9c-720b36042d93
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201801210931_90339df9-60b2-45e4-983a-6126f08aa88b.jpg",Japonesa,4.9,40,2.22,Gohan  Japanese Food,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/gohan--japanese-food-centro/90339df9-60b2-45e4-983a-6126f08aa88b
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201801240726_dd15057d-d6e7-4407-9f12-a7e5fffd597b.png",Variada,4.9,40,2.24,Chopp's Cia,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/chopps-cia-centro/dd15057d-d6e7-4407-9f12-a7e5fffd597b
